iter	RMSE
189	0.07677334445
190	0.07661312046
191	0.07642062303
192	0.07626711803
193	0.07611598539
194	0.07596994835
195	0.07575732019
196	0.07561979418
197	0.07320588628
198	0.07084313841
199	0.07070656494
200	0.07056821543
201	0.0704351794
202	0.07025337112
203	0.06854682283
204	0.06841711781
205	0.06829197311
206	0.06816135718
207	0.06803317325
208	0.06791220411
209	0.06778798632
210	0.06611998763
211	0.0654887819
212	0.06287910645
213	0.06276500083
214	0.06260837232
215	0.06249422947
216	0.06238662438
217	0.0606709144
218	0.06056608898
219	0.06045907775
220	0.05889430769
221	0.05879269422
222	0.0585608596
223	0.05835269277
224	0.05817808988
225	0.05808483971
226	0.05633076669
227	0.05483121088
228	0.05473798871
229	0.05464727798
230	0.05443205844
231	0.05434111031
232	0.05421125269
233	0.05412986593
234	0.05399406935
235	0.05288992157
236	0.05277554919
237	0.05269153726
238	0.0517510313
239	0.05159289695
240	0.05150965959
241	0.0506671305
242	0.05059007048
243	0.05051983784
244	0.05038638192
245	0.0503177808
246	0.05025128635
247	0.050186403
248	0.04857237333
249	0.04850636449
250	0.04772265334
251	0.04765965397
252	0.04726791351
253	0.04717919552
254	0.04708982224
255	0.04700422943
256	0.04690143302
257	0.04684573076
258	0.04622515944
259	0.04616914401
260	0.04610049825
261	0.04522455646
262	0.04517083219
263	0.04511968521
264	0.04503382064
265	0.04498255378
266	0.04435239765
267	0.04427448301
268	0.04362236461
269	0.04353968931
270	0.04349443833
271	0.04265568425
272	0.04256333752
273	0.04248946796
274	0.04242214774
275	0.0423790328
276	0.04178664679
277	0.04046964961
278	0.04041478573
279	0.04037326969
280	0.04033130546
281	0.0402923963
282	0.03963515919
283	0.03959295174
284	0.03955604648
285	0.03897284164
286	0.0389138281
287	0.03795996344
288	0.03789929607
289	0.03786148062
290	0.0378242471
291	0.03779132981
292	0.03771321922
293	0.03768053351
294	0.03762045441
295	0.03758130852
296	0.03754951725
297	0.03751096773
298	0.03748002115
299	0.03668706056
300	0.03661313567
301	0.03655315859
302	0.03652490089
303	0.0364879974
304	0.03600468633
305	0.03551868463
306	0.03548629709
307	0.03544377926
308	0.0354182079
309	0.03537951964
310	0.03486830336
311	0.03484238368
312	0.0346720993
313	0.03464708734
314	0.03431093919
315	0.03428795056
316	0.03415315669
317	0.0335846318
318	0.03306457685
319	0.03304300304
320	0.03269052282
321	0.03267081834
322	0.03264899255
323	0.03263019342
324	0.03260464485
325	0.03209074494
326	0.03186052334
327	0.03169103091
328	0.03167245378
329	0.03164400608
330	0.03162587931
331	0.03160756498
332	0.03159049918
333	0.03156879197
334	0.03155196778
335	0.03153615499
336	0.03094724512
337	0.03091931736
338	0.03032662576
339	0.03031202539
340	0.03010274429
341	0.02994477489
342	0.02978106403
343	0.02970769608
344	0.02947466727
345	0.02932638206
346	0.0293102722
347	0.02929096145
348	0.02901757179
349	0.02884466304
350	0.02842988095
351	0.02841757808
352	0.02840292165
353	0.02786513722
354	0.02785309915
355	0.02751560939
356	0.02749808878
357	0.02748467515
358	0.02747279192
359	0.02728566014
360	0.02697064156
361	0.02694812034
362	0.02693818361
363	0.02692873443
364	0.0264736954
365	0.0263725013
366	0.02636021126
367	0.02635009043
368	0.02612271297
369	0.02597318719
370	0.02596066597
371	0.02585599425
372	0.02584662556
373	0.02583775893
374	0.02582907671
375	0.02567127949
376	0.02531088591
377	0.02523397005
378	0.02497049877
379	0.02496172294
380	0.02495211806
381	0.02493472592
382	0.02463131874
383	0.02462189591
384	0.02461402727
385	0.02447030347
386	0.02443621811
387	0.0241937233
388	0.02410924146
389	0.02388351048
390	0.02362251636
391	0.02357290803
392	0.02356603045
393	0.02346159059
394	0.02344727177
395	0.02344159163
396	0.0232552189
397	0.02324881691
398	0.02305061551
399	0.02292415232
400	0.02273672693
401	0.02273031805
402	0.0225456749
403	0.02238940629
404	0.02238346533
405	0.02237808219
406	0.02215672602
407	0.02215154167
408	0.02202891123
409	0.02194618628
410	0.02179489934
411	0.02164938057
412	0.02161982925
413	0.02158550679
414	0.02144217694
415	0.02142205749
416	0.02130806115
417	0.02106237003
418	0.02083600343
419	0.02071464572
420	0.02053915503
421	0.02036680748
422	0.02036109726
423	0.02030507138
424	0.02015456962
425	0.02009593118
426	0.02005093196
427	0.01996400191
428	0.01989465495
429	0.01982524204
430	0.01968774871
431	0.01965260315
432	0.01959971027
433	0.01947243689
434	0.01931599562
435	0.01919208015
436	0.0190754861
437	0.018993452
438	0.0189130068
439	0.01884181323
440	0.0186969766
441	0.01861199914
442	0.01848140903
443	0.01832136748
444	0.01823769371
445	0.01811277935
446	0.01801757642
447	0.01787850772
448	0.01783144873
449	0.01775782228
450	0.01763102042
451	0.01751730118
452	0.0174796253
453	0.0174302474
454	0.01742522668
455	0.01731607759
456	0.01726126878
457	0.01718380561
458	0.01714298432
459	0.01701270598
460	0.01698088734
461	0.01690519711
462	0.01690144133
463	0.01685438997
464	0.01679425899
465	0.01671165348
466	0.01661605704
467	0.01647272285
468	0.01644553169
469	0.01640751426
