iter	MAE
188	64438.27377
189	64432.92922
190	64429.85024
191	64415.92184
192	64393.85223
193	64376.50751
194	64373.40558
195	64368.34065
196	64361.72144
197	64358.12517
198	64351.40504
199	64346.82893
200	64336.4152
201	64327.28618
202	64320.93051
203	64315.36471
204	62415.25425
205	62413.46924
206	62398.13717
207	62385.12104
208	62378.88935
209	62376.97068
210	62358.23216
211	62352.78643
212	62339.90541
213	62329.80439
214	62316.75254
215	62315.07026
216	60476.35093
217	60467.35375
218	60464.67255
219	60453.18377
220	60441.86202
221	60439.13661
222	60435.39388
223	60423.48876
224	60419.56401
225	60417.6177
226	58633.95382
227	58625.45688
228	58622.04993
229	56894.65342
230	56892.40475
231	56885.55996
232	56872.73633
233	56871.36954
234	56867.80442
235	56862.35988
236	56853.21594
237	55168.75743
238	55158.14368
239	55148.76732
240	55145.72081
241	55141.04388
242	53511.23849
243	53498.33466
244	53491.29728
245	51917.35903
246	51914.93582
247	50379.57808
248	50368.82619
249	50367.46456
250	50359.21062
251	50356.69152
252	50348.65593
253	50340.18914
254	50337.21825
255	50335.1269
256	50331.9409
257	50322.58627
258	50310.30722
259	50303.71306
260	50302.2238
261	50298.00381
262	50292.8278
263	50283.3816
264	50280.59674
265	50279.3838
266	50273.5032
267	50271.45662
268	48786.1971
269	48781.25381
270	48777.8606
271	48768.83237
272	48764.49132
273	48757.90553
274	48756.27599
275	48751.93032
276	47311.60354
277	47301.74173
278	47297.31592
279	47290.81486
280	47287.2109
281	47283.22661
282	47277.13568
283	47271.90238
284	45878.59039
285	45875.49841
286	45872.6951
287	45865.3558
288	45862.14647
289	45861.41002
290	45853.74339
291	45851.94432
292	45849.80265
293	45847.19114
294	45845.91002
295	45844.58219
296	45843.38331
297	45839.85756
298	45831.70287
299	45830.38098
300	45828.6341
301	45827.84497
302	45827.09429
303	45823.98335
304	45823.20749
305	45821.90376
306	45819.05204
307	45810.18005
308	45808.13886
309	44453.04984
310	44452.06232
311	44444.65136
312	44441.8021
313	44435.52234
314	44434.18852
315	44432.08982
316	44430.04405
317	44428.87251
318	44424.33741
319	44416.5803
320	44414.7557
321	44412.75162
322	44409.8916
323	44407.17578
324	44401.84957
325	44401.09855
326	44399.31632
327	44397.14836
328	44396.45117
329	44394.56804
330	44394.12048
331	44392.1361
332	44391.2093
333	44390.172
334	44389.53873
335	44387.37305
336	44384.09639
337	44382.97
338	44381.53394
339	44380.27281
340	44377.70356
341	43067.57084
342	41794.52237
343	40557.96145
344	39361.13417
345	39355.8008
346	39352.00553
347	39345.68612
348	38184.13956
349	38182.3367
350	38177.96406
351	37049.52534
352	37046.7947
353	35953.57017
354	35953.11022
355	35952.26209
356	35951.7678
357	35947.90393
358	35947.35637
359	35944.35012
360	35942.90815
361	35941.70241
362	35940.06472
363	35939.55567
364	35938.52505
365	35936.40522
366	35934.61683
367	35933.31717
368	35931.55989
369	35930.95469
370	34870.6623
371	34868.15705
372	33838.5003
373	33837.96767
374	32840.69872
375	31871.96517
376	31871.10049
377	31869.25516
378	30930.78989
379	30929.87329
380	30927.9549
381	30926.95423
382	30925.99869
383	30925.44478
384	30924.26668
385	30922.91143
386	30921.84198
387	30920.32837
388	30918.97918
389	30918.48409
390	30917.29166
391	30915.94535
392	30910.35152
393	30909.78963
394	30909.19844
395	30907.28343
396	29997.95869
397	29996.7212
398	29995.64475
399	29994.31077
400	29993.00346
401	29109.52297
402	29108.40352
403	29107.68039
404	29106.94507
405	29105.86913
406	29104.09742
407	29103.23843
408	29101.96767
409	29101.31468
410	29100.13841
411	29099.19028
412	29097.25151
413	29096.62075
414	29096.15504
415	29094.84754
416	29094.32803
417	29093.37443
418	29091.75284
419	29091.02825
420	29088.99991
421	29088.15005
422	29086.47527
423	29085.45146
424	29084.4185
425	29083.82115
426	29083.07475
427	29078.72222
428	29078.30208
429	29077.77118
430	29076.91501
431	29075.51621
432	29073.9719
433	29073.58069
434	29072.84773
435	29071.96457
436	29070.87281
437	29070.21765
438	29069.43681
439	29069.09601
440	29068.64757
441	28212.05776
442	28211.03301
443	28210.02081
444	28209.32683
445	28206.95356
446	28205.30591
447	28204.48299
448	28203.56554
449	27373.93309
450	27372.87415
451	27372.15707
452	27371.90364
453	27370.44184
454	27369.67084
455	27368.41745
456	27367.27541
457	27366.58209
458	27366.08
459	27365.43251
460	27364.1341
461	26559.57029
462	26558.51233
463	26557.86231
464	26557.35013
465	25776.70914
466	25019.75469
467	25018.64856
468	25018.09439
469	24281.33901
470	23567.2567
471	23566.81085
472	23566.24984
473	22875.06261
474	22873.19225
475	22872.78832
476	22872.36591
477	22872.03898
478	22870.36988
479	22197.95285
480	22197.47358
481	22197.1154
482	22196.41681
483	22192.90039
484	22192.02082
485	22191.24804
486	22190.80153
487	22190.18824
488	22189.67447
489	22187.22253
490	22186.36629
491	22186.16308
492	22185.675
493	22184.99029
494	22183.85772
495	22183.03226
496	22182.55445
497	22181.98342
498	22181.42147
499	22181.02664
500	22180.46732
501	22179.96827
502	22179.72953
503	22179.17897
504	22178.7729
505	22177.89728
506	22177.39833
507	22176.93524
508	22176.58872
509	22176.03315
510	22175.577
511	22171.60625
512	22171.28221
513	21519.53107
514	21518.78357
515	21518.25941
516	21517.80101
517	20885.85125
518	20885.58765
519	20885.08667
520	20884.58686
521	20883.5031
522	20883.20793
523	20882.96085
524	20882.28014
525	20882.05773
526	20270.3062
527	20269.76906
528	20269.37703
529	20268.83952
530	20267.60749
531	20267.0152
532	19673.67735
533	19673.07493
534	19672.58986
535	19094.92617
536	19094.62843
537	19094.0405
538	19093.48394
539	19092.94234
540	19091.56625
541	19091.26422
542	19090.85688
543	19090.68667
544	19088.37308
545	19088.06578
546	19087.69918
547	19087.42752
548	19086.52121
549	19085.94337
550	19085.38927
551	19084.27593
552	19083.59021
553	19083.45944
554	19082.75305
555	19082.42188
556	19082.18165
557	19081.88351
558	19081.38452
559	18523.22246
560	18522.18401
561	18521.77266
562	18521.41268
563	18521.22063
564	18519.84088
565	18519.13163
566	18518.85999
567	18518.54905
568	18518.26213
569	18517.38872
570	18515.18761
571	18514.92426
572	18514.78169
573	18514.39841
574	18514.04167
575	18513.08315
576	18512.68506
577	18511.9022
578	18510.16866
579	18509.6012
580	17968.1468
581	17966.57451
582	17966.1268
583	17963.89811
584	17962.94517
585	17436.47994
586	17436.25235
587	17435.36194
588	17434.7523
589	17433.10366
590	17432.79832
591	17430.78387
592	17430.561
593	17430.08967
594	17429.8265
595	17429.68749
596	17429.18736
597	17428.82431
598	17426.94064
599	17426.5787
600	17424.94568
601	17424.25236
602	17423.69335
603	17423.55508
604	16913.80622
605	16913.36811
606	16913.20749
607	16911.79832
608	16911.34362
609	16910.74458
610	16416.47468
611	16416.17284
612	16415.97165
613	16415.79408
614	16415.41311
615	16414.82207
616	16414.57454
617	16414.24135
618	16413.63023
619	16412.7572
620	16411.89441
621	16411.20312
622	16411.04094
623	16410.50214
624	16409.60344
625	16409.30963
626	16409.0391
627	16408.71073
628	16407.95096
629	16407.50633
630	16407.14922
631	16406.74287
632	16406.30616
633	16405.58427
634	16405.10859
635	16404.88122
636	16403.04391
637	16402.59273
638	16402.32761
639	15923.0819
640	15922.41883
641	15922.07267
642	15921.60957
643	15921.28566
644	15921.20026
645	15920.9352
646	15920.77204
647	15920.60164
648	15920.29785
649	15919.9688
650	15917.67675
651	15917.21164
652	15916.73564
653	15916.18127
654	15915.40353
655	15915.22695
656	15915.03942
657	15914.38301
658	15913.2837
659	15448.11884
660	15447.82362
661	15447.44633
662	15447.24187
663	15446.89435
664	15446.26557
665	15445.07449
666	15444.51703
667	15443.92324
668	15443.7752
669	15443.09893
670	14990.66372
671	14990.58043
672	14990.27749
673	14989.71179
674	14989.44059
675	14988.89267
676	14988.53617
677	14551.23666
678	14549.85114
679	14549.62084
680	14549.2944
681	14549.19369
682	14548.70716
683	14548.39506
684	14546.70884
685	14546.03727
686	14545.7522
687	14545.49357
688	14544.79175
689	14544.28675
690	14543.88927
691	14543.75325
692	14543.09296
693	14118.65376
694	14118.33304
695	14118.09819
696	14117.57539
697	14117.44434
698	14117.05961
699	14116.9117
700	14116.66423
701	14116.33501
702	14115.61183
703	14115.45222
704	14114.97866
705	14114.80727
706	14114.31419
707	14114.01684
708	14113.85563
709	14113.13026
710	14112.65903
711	14112.46791
712	14112.19339
713	14111.98231
714	14111.59672
715	14111.42955
716	14111.26429
717	14111.20452
718	14111.11707
719	13699.57759
720	13698.06111
721	13697.79979
722	13697.44584
723	13298.25341
724	13298.17803
725	13297.84209
726	13297.44825
727	13296.97372
728	13296.80456
729	13296.55632
730	12908.66423
731	12908.33775
732	12908.23364
733	12907.88305
734	12907.15543
735	12906.9724
736	12906.26345
737	12906.01767
738	12905.61762
739	12905.17329
740	12905.02268
741	12904.64392
742	12904.38405
743	12904.0737
744	12903.78094
745	12903.6331
746	12903.42783
747	12903.07367
748	12902.67496
749	12902.40992
750	12901.73944
751	12901.56643
752	12901.32326
753	12901.23064
754	12900.87415
755	12900.73
756	12900.49757
757	12900.13159
758	12899.81858
759	12899.53261
760	12899.37734
761	12898.90957
762	12898.66391
763	12898.22966
764	12897.97498
765	12897.71056
766	12521.86876
767	12520.0316
768	12519.92303
769	12518.72145
770	12518.60725
771	12518.43929
772	12518.16597
773	12518.04009
774	12517.85645
775	12517.68081
776	12517.50218
777	12517.40385
778	12517.00622
779	12516.69902
780	12516.6296
781	12516.1593
782	12515.8092
783	12515.53107
784	12515.19468
785	12514.96315
786	12514.77754
787	12514.35748
788	12514.21616
789	12513.95459
790	12513.7412
791	12513.09394
792	12512.78593
793	12512.38396
794	12512.21273
795	12511.95446
796	12511.75518
797	12511.47684
798	12511.09921
799	12510.88653
